<<<<<<< HEAD
﻿Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State
T.W. Ogg Elemetary Community Health Network,Yes,Service Delivery Site,Permanent,School,Brazoria County,TX
Asian and Pacific Islander Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA
N Street Village,Yes,Service Delivery Site,Permanent,All Other Clinic Types,District of Columbia,DC
Aiken Specialty Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Aiken County,SC
"East Iberville Math, Science and Arts Academy",Yes,Service Delivery Site,Permanent,School,Iberville Parish,LA
FoundCare Boynton Beach,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Palm Beach County,FL
East Central District Health Department/Good Neighbor Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Platte County,NE
Behavioral Health Services on 12th Avenue,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yakima County,WA
Lower Lights Christian Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,OH
FamilyHealth - El Cajon Youth Counseling Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
FAMILY HLTH CTR NO. BEACH CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pacific County,WA
Quincy Senior and Family Resource Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Adams County,IL
La Maestra Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
56 Bay Street Outpatient Treatment,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Richmond County,NY
Community Care of Flatwoods II,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Braxton County,WV
Emeline Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Santa Cruz County,CA
CHC/SEIA HAMILTON CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hancock County,IL
Collins Middle School,Yes,Service Delivery Site,Seasonal,School,Essex County,MA
WSCHC Healthy Smiles in  Motion,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Washington County,MD
Bolduc Avenue Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Aroostook County,ME
Holyoke Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Hampden County,MA
YourTown Health Milby Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pike County,GA
CHS Lonsdale,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Knox County,TN
NORTH EAST MEDICAL SERVICES - TARAVAL STREET,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA
TUCSON BIRTH AND WOMEN'S HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pima County,AZ
Adult Primary Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hampden County,MA
"CONCILIO DE SALUD INTEGRAL DE LOIZA, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Loiza Municipio,PR
Juniper Health Morgan County,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Morgan County,KY
YVFWC YAKIMA CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yakima County,WA
"Migrant Health Center, Western Region, Inc. Lajas",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lajas Municipio,PR
Taft High School,Yes,Service Delivery Site,Permanent,School,Bronx County,NY
Champlain Islands Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Grand Isle County,VT
Cares Community Health dba One Community Health Administrative Offices,No,Administrative,Permanent,Unknown,Sacramento County,CA
"Circle the City Medical Respite Center, Downtown Campus",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
CVHS Downtown Petersburg,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Petersburg City,VA
Mission City Community Network - Mission Hills,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
SCMC Van Nuys,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Yehowa Medical Services - South Gate,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
"Clinicas del Camino Real, Inc. - Newbury Park Dental",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ventura County,CA
Montezuma Creek Community Health Center,No,Administrative,Permanent,All Other Clinic Types,San Juan County,UT
Barren County Middle Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Barren County,KY
"EXCELth, Inc. FHC - BATON ROUGE",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,East Baton Rouge Parish,LA
Eastpoint Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,FL
Accordia Health - Rockford,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Coosa County,AL
MN Community Care - East Side Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Ramsey County,MN
TCHC - Mowry II,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA
CommuniCare Health Centers - Northwest,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bexar County,TX
Wesley Health Centers (Corner of Hope),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Conejo Valley Family Medical Group,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ventura County,CA
Southeast Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tarrant County,TX
Waterfall Clinic Madison Elementary,Yes,Service Delivery Site,Seasonal,School,Coos County,OR
Austin Tracy Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Barren County,KY
VALLEY LODGE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY
HPM Foundation Inc. Culebra,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Culebra Municipio,PR
Jimmy Brown Elementary - SCSD,Yes,Service Delivery Site,Seasonal,School,Lincoln County,AR
La Clinica Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,OR
Quitman Street Community School,Yes,Service Delivery Site,Permanent,School,Essex County,NJ
FAMILY Circle of Care Jacksonville Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cherokee County,TX
HOLY CROSS CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yukon-Koyukuk Census Area,AK
Florida Department of Health in Walton County - Coastal Branch,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Walton County,FL
AccessHealth Rural Acres Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Raleigh County,WV
VICTORIA ELEMENTARY SCHOOL,Yes,Service Delivery Site,Seasonal,School,Lunenburg County,VA
Monroeville Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,AL
LIFQHC New Cassel,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Nassau County,NY
RHN Suite C Admin,No,Administrative,Permanent,All Other Clinic Types,Monroe County,FL
Ronald McDonald Care Mobile,Yes,Service Delivery Site,Mobile Van,School,Perry County,KY
INDIAN HEALTH CENTER OF SANTA CLARA,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA
OneWorld Teen and Young Adult Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Douglas County,NE
Venice Family Clinic- Irma Colen Administration Suite,No,Administrative,Permanent,All Other Clinic Types,Los Angeles County,CA
ROANE COUNTY FAMILY HEALTH CARE,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Roane County,WV
"Warrenton Medical, Dental, & Behavioral Health",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Warren County,MO
LAKEWOOD CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pierce County,WA
CCS Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Androscoggin County,ME
YVFWC GRANDVIEW CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yakima County,WA
STRIDE CHC- Potomac Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Arapahoe County,CO
CSC ROSA LEE GERALD CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Darlington County,SC
Pocahontas County High School Wellness Center,Yes,Service Delivery Site,Permanent,School,Pocahontas County,WV
Integrated Pediatric Care Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bowie County,TX
THE FLOATING HOSPITAL,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Queens County,NY
Plaquemines Primary Care Mobile Health Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Plaquemines Parish,LA
STEDMAN FAMILY DENTAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cumberland County,NC
Rural Health Group at Stovall,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Granville County,NC
Woodland Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Hardin County,KY
"Center for Family Health & Education, Inc",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
RKM at Denham Springs Elementary,Yes,Service Delivery Site,Seasonal,School,Livingston Parish,LA
FMC - SBHC Harding Middle School,Yes,Service Delivery Site,Permanent,School,Jefferson County,OH
Urgent Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Delaware County,IN
Moreno Valley Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Riverside County,CA
CHCCM Moniteau Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Moniteau County,MO
East Grant Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Grant Parish,LA
Lewisburg Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Greenbrier County,WV
Beloved Community Family Wellness Center Halsted Dental Site Suite 1A,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
Pleasant Valley,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Allegheny County,PA
CommWell Health Mobile Dental - Unit 1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Sampson County,NC
Women's Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dona Ana County,NM
Britton Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oklahoma County,OK
Watsonville Health Center - Building A,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Cruz County,CA
Santee Family Medicine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
Ridgeland Nursing Center,Yes,Service Delivery Site,Permanent,Nursing Home,Jasper County,SC
"Stigler Health and Wellness Center, Leflore County - POTEAU",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Le Flore County,OK
MCHS Elligibility Office,No,Administrative,Permanent,All Other Clinic Types,Midland County,TX
County of Monterey - Laurel Family Practice,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monterey County,CA
Southeastern Virginia Health System @ Western Tidewater Community Services Board,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk City,VA
Neighborhood Health at the Gartlan Mental Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fairfax County,VA
BETHEL FAMILY CLINIC DENTAL,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bethel Census Area,AK
Jane Pauley Community Health Center at Holy Cross South Campus School,Yes,Service Delivery Site,Permanent,School,Madison County,IN
CareConnect Dental Van 2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Monroe County,GA
HARVEST FAMILY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Nash County,NC
Hughson Medical Office,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA
HOPE Behavioral Health- Carthage,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Panola County,TX
Venice Family Clinic - Simms/Mann Health and Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Fair Oaks Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Mateo County,CA
FAIRVIEW COMMUNITY HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Warren County,KY
Tigautchiaq Amainiq Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Northwest Arctic Borough,AK
LACHC at St. Mary Catholic School (dental),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Gallia Street Clinic,Yes,Service Delivery Site,Seasonal,School,Scioto County,OH
Heart of Florida Health Center Belleview,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,FL
Virginia Beach Housing Resource Center Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Virginia Beach City,VA
Riverside Primary School,Yes,Service Delivery Site,Seasonal,School,Doniphan County,KS
Variety Care Tenth Street Family Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oklahoma County,OK
Safe Harbor,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA
COMMUNITY HEALTH CENTER - LAKE ELLENOR PEDIATRIC DENTAL & ADULT EMERGENCY DENTAL CARE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,FL
6th Street Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
CAHC Frontline Service,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cuyahoga County,OH
Western Title Building,No,Administrative,Permanent,Unknown,Lincoln County,OR
Erna P. Harris Court - Supportive Housing Program,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA
Meridian Health Services - Henry County,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Henry County,IN
Mobile Health Van 3,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Orange County,NY
Alcona Health Center North Ohio Elementary Gaylord,Yes,Service Delivery Site,Seasonal,School,Otsego County,MI
Baptist Community Health Services- Upper 9th Ward,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA
White House Clinic - Mt. Vernon,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rockcastle County,KY
Matthew W. Stahl Memorial Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Susquehanna County,PA
Care for the Homeless,No,Administrative,Permanent,Unknown,New York County,NY
Muskogee Health Center West,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Muskogee County,OK
SDHS Family Dentistry,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lunenburg County,VA
Clay Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clay County,IL
Harbor Care Health and Wellness Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Hillsborough County,NH
NHC Canby Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clackamas County,OR
Beacon Hill International School,Yes,Service Delivery Site,Seasonal,School,King County,WA
Cascade AIDS Project,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Multnomah County,OR
"Regional Health Care Affiliates, Inc. dba. Health First Community Health Center - Providence",No,Administrative,Permanent,Unknown,Webster County,KY
TOWN CENTER PHYSICIANS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mathews County,VA
Mobile Health Van 2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Orange County,NY
HomePlace Clinic - Belfry,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pike County,KY
Ellenville Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ulster County,NY
"KINSTON COMMUNITY HEALTH CENTER, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Lenoir County,NC
